Tm,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Yakult Swallows,28.3,4.01,143,5422,4817,574,1240,223,16,107,547,83,29,433,909,.257,.322,.377,.699,1816,96,37,104,31,4
Yokohama Bay Stars,27.0,3.55,143,5328,4763,508,1186,219,18,112,488,57,36,361,1047,.249,.306,.373,.679,1777,77,43,137,24,7
Yomiuri Giants,30.7,3.42,143,5304,4672,489,1137,190,16,98,467,99,32,434,974,.243,.313,.354,.667,1653,92,52,116,30,6
Chunichi Dragons,30.4,3.31,143,5413,4835,473,1222,188,19,71,434,88,33,401,1000,.253,.313,.344,.657,1661,83,36,114,27,10
Hanshin Tigers,30.9,3.25,143,5373,4705,465,1160,192,15,78,446,48,38,464,1001,.247,.317,.343,.661,1616,93,38,138,28,9
Hiroshima Carp,28.9,2.97,143,4753,4222,425,1038,173,31,86,410,65,43,347,939,.246,.306,.363,.668,1531,83,28,131,25,10
League Totals,29.4,3.42,858,31593,28014,2934,6983,1185,115,552,2792,440,211,2440,5870,.249,.313,.359,.672,10054,524,234,740,165,46
