Tm,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Fukuoka Softbank Hawks,28.8,3.38,94,49,.657,3.23,3.41,143,143,139,4,2,58,1276.1,1062,483,458,134,451,1,1203,52,2,34,5284,1.185,7.5,0.9,3.2,8.5,2.67
Tohoku Rakuten Golden Eagles,26.7,3.69,77,63,.550,3.34,3.71,143,143,130,13,3,41,1280.2,1140,528,475,115,407,6,1144,49,8,46,5341,1.208,8.0,0.8,2.9,8.0,2.81
Saitama Seibu Lions,28.4,3.92,79,61,.564,3.54,3.97,143,143,133,10,7,29,1269.2,1169,560,499,125,403,7,967,53,4,38,5328,1.238,8.3,0.9,2.9,6.9,2.40
Hokkaido Nippon Ham Fighters,27.0,4.17,60,83,.420,3.82,4.23,143,143,137,6,2,31,1266.2,1246,596,537,147,443,13,968,38,7,52,5446,1.333,8.9,1.0,3.1,6.9,2.19
Orix Buffaloes,27.5,4.18,63,79,.444,3.83,4.22,143,143,130,13,5,35,1275.1,1214,598,543,124,433,8,1015,33,4,38,5393,1.291,8.6,0.9,3.1,7.2,2.34
Chiba Lotte Marines,27.6,4.52,54,87,.383,4.22,4.60,143,143,132,11,1,27,1264.2,1293,647,593,143,486,12,939,48,5,40,5512,1.407,9.2,1.0,3.5,6.7,1.93
League Totals,27.7,3.98,427,422,.503,3.66,4.02,858,858,801,57,20,221,7633.1,7124,3412,3105,788,2623,47,6236,273,30,248,32304,1.277,8.4,0.9,3.1,7.4,2.38
