Tm,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Yakult Swallows,27.9,4.63,144,5653,5023,667,1401,223,15,139,647,62,22,443,877,.279,.339,.412,.752,2071,112,35,118,34,12
Hiroshima Carp,28.1,4.51,144,5538,4878,649,1326,219,23,153,612,96,54,450,1134,.272,.337,.420,.757,2050,104,50,120,40,20
Hanshin Tigers,29.8,4.16,144,5507,4823,599,1274,226,15,94,563,55,37,483,1009,.264,.335,.376,.710,1812,124,45,121,35,16
Yomiuri Giants,30.3,4.14,144,5480,4862,596,1248,207,7,144,570,102,30,419,923,.257,.321,.391,.712,1901,124,54,117,28,11
Chunichi Dragons,31.2,3.96,144,5521,4854,570,1250,215,21,87,537,75,27,467,926,.258,.325,.364,.689,1768,109,34,126,40,12
Yokohama Bay Stars,28.2,3.94,144,5464,4833,568,1224,211,27,121,540,76,24,400,1107,.253,.317,.383,.700,1852,110,61,149,21,23
League Totals,29.2,4.22,864,33163,29273,3649,7723,1301,108,738,3469,466,194,2662,5976,.264,.329,.391,.720,11454,683,279,751,198,94
