Tm,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Hiroshima Carp,28.4,5.15,143,5592,4872,736,1329,237,23,152,705,112,40,511,1114,.273,.345,.424,.769,2068,95,49,116,44,4
Yokohama Bay Stars,27.1,4.17,143,5402,4872,597,1230,245,14,134,571,39,18,378,1091,.252,.311,.391,.702,1905,101,46,84,22,6
Hanshin Tigers,29.3,4.12,143,5520,4807,589,1195,213,18,113,559,70,29,531,1008,.249,.327,.371,.698,1783,97,43,113,26,10
Chunichi Dragons,29.3,3.93,124,5306,4794,487,1183,190,23,111,451,77,41,320,1103,.247,.300,.365,.666,1752,86,56,115,21,4
Yomiuri Giants,30.5,3.75,143,5384,4775,536,1190,223,15,113,519,56,22,452,1006,.249,.318,.373,.691,1782,129,43,87,27,15
Yakult Swallows,29.0,3.31,143,5355,4728,473,1108,166,19,95,449,50,26,454,1013,.234,.306,.338,.644,1597,116,44,109,20,5
League Totals,28.9,4.07,839,32559,28848,3418,7235,1274,112,718,3254,404,176,2646,6335,.251,.318,.377,.696,10887,624,281,624,160,44
