Tm,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Fukuoka Softbank Hawks,28.5,4.22,144,5631,4935,607,1383,227,30,95,574,124,49,444,921,.280,.344,.396,.740,1955,96,59,146,47,21
Hokkaido Nippon Ham Fighters,26.3,4.12,144,5428,4731,593,1188,188,29,119,564,134,48,452,1092,.251,.321,.379,.700,1791,72,47,172,26,8
Orix Buffaloes,29.7,4.06,144,5466,4708,584,1215,211,22,110,559,126,58,470,905,.258,.335,.382,.717,1800,91,85,176,27,20
Saitama Seibu Lions,27.8,3.99,144,5563,4782,574,1187,221,26,125,549,74,39,545,1234,.248,.329,.384,.712,1835,81,45,155,36,8
Chiba Lotte Marines,28.6,3.86,144,5433,4836,556,1213,260,33,96,519,64,35,404,862,.251,.314,.378,.691,1827,79,53,109,31,7
Tohoku Rakuten Golden Eagles,29.0,3.81,144,5455,4768,549,1214,215,18,78,518,64,44,488,959,.255,.327,.356,.684,1699,119,45,118,36,9
League Totals,28.3,4.01,864,32976,28760,3463,7400,1322,158,623,3283,586,273,2803,5973,.257,.328,.379,.707,10907,538,334,876,203,73
