Tm,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Yomiuri Giants,28.8,3.83,82,61,.573,3.58,3.80,144,144,134,10,13,41,1306.1,1288,552,520,122,380,18,998,49,4,51,5510,1.277,8.9,0.8,2.6,6.9,2.63
Chunichi Dragons,28.5,4.10,67,73,.479,3.69,4.11,144,144,138,6,11,35,1293.1,1213,590,530,110,503,8,970,52,6,40,5505,1.327,8.4,0.8,3.5,6.8,1.93
Hiroshima Carp,26.5,4.24,74,68,.521,3.79,4.28,144,144,138,6,10,29,1283.2,1298,610,540,121,408,10,933,55,7,32,5478,1.329,9.1,0.8,2.9,6.5,2.29
Hanshin Tigers,29.3,4.26,75,68,.524,3.88,4.31,144,144,135,9,14,39,1282.0,1240,614,553,104,433,11,1174,44,1,59,5476,1.305,8.7,0.7,3.0,8.2,2.71
Yokohama Bay Stars,29.5,4.33,67,75,.472,3.76,4.36,144,144,133,11,10,30,1289.1,1321,624,539,130,456,14,939,47,9,56,5582,1.378,9.2,0.9,3.2,6.6,2.06
Yakult Swallows,27.9,4.98,60,81,.426,4.62,5.03,144,144,139,5,4,31,1283.0,1386,717,659,161,484,22,940,40,7,38,5645,1.458,9.7,1.1,3.4,6.6,1.94
League Totals,28.4,4.29,425,426,.499,3.89,4.31,864,864,817,47,62,205,7737.2,7746,3707,3341,748,2664,83,5954,287,34,276,33196,1.345,9.0,0.9,3.1,6.9,2.24
