Tm,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Hiroshima Carp,27.5,3.48,89,52,.631,3.21,3.48,143,143,136,7,5,37,1284.0,1194,497,458,101,418,7,966,42,2,30,5396,1.255,8.4,0.7,2.9,6.8,2.31
Yomiuri Giants,27.2,3.80,71,69,.507,3.45,3.81,143,143,135,8,3,41,1282.1,1248,543,492,119,395,3,1061,49,5,31,5422,1.281,8.8,0.8,2.8,7.4,2.69
Hanshin Tigers,29.3,3.82,64,76,.457,3.38,3.86,143,143,135,8,5,31,1274.2,1139,546,479,100,498,15,1166,41,3,50,5436,1.284,8.0,0.7,3.5,8.2,2.34
Yokohama Bay Stars,27.2,4.11,69,71,.493,3.76,4.15,143,143,134,9,5,35,1274.0,1253,588,532,143,419,22,1059,31,2,39,5438,1.312,8.9,1.0,3.0,7.5,2.53
Yakult Swallows,29.4,4.85,64,78,.451,4.73,4.95,143,143,136,7,2,31,1260.2,1333,694,663,147,476,19,872,75,1,38,5541,1.435,9.5,1.0,3.4,6.2,1.83
Chunichi Dragons,27.1,5.16,58,82,.414,3.65,4.02,111,111,134,8,2,25,1281.1,1222,573,519,115,469,5,980,48,1,44,5468,1.320,8.6,0.8,3.3,6.9,2.09
League Totals,28.0,4.17,415,428,.492,3.69,4.04,826,826,810,47,22,200,7657.0,7389,3441,3143,725,2675,71,6104,286,14,232,32701,1.314,8.7,0.9,3.1,7.2,2.28
