Tm,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Yomiuri Giants,27.0,3.10,75,67,.528,2.78,3.14,143,143,132,11,5,43,1271.0,1096,443,393,99,375,10,992,39,9,33,5214,1.157,7.8,0.7,2.7,7.0,2.65
Hiroshima Carp,27.7,3.31,69,71,.493,2.93,3.32,143,143,134,9,1,36,1286.1,1174,474,419,74,419,3,1010,35,4,28,5379,1.238,8.2,0.5,2.9,7.1,2.41
Chunichi Dragons,28.0,3.52,62,77,.446,3.19,3.55,143,143,134,9,4,34,1279.0,1169,504,453,91,425,9,966,41,2,40,5373,1.246,8.2,0.6,3.0,6.8,2.27
Yakult Swallows,29.7,3.62,76,65,.539,3.31,3.66,143,143,140,3,3,42,1272.2,1204,518,468,112,429,13,935,48,2,32,5355,1.283,8.5,0.8,3.0,6.6,2.18
Hanshin Tigers,29.6,3.85,70,71,.496,3.49,3.89,143,143,133,10,6,42,1272.1,1230,550,493,94,452,7,1090,44,1,42,5448,1.322,8.7,0.7,3.2,7.7,2.41
Yokohama Bay Stars,28.6,4.18,62,80,.437,3.80,4.25,143,143,136,7,1,40,1267.2,1298,598,535,113,464,8,1003,29,9,68,5493,1.390,9.2,0.8,3.3,7.1,2.16
League Totals,28.5,3.60,414,431,.490,3.25,3.63,858,858,809,49,20,237,7649.0,7171,3087,2761,583,2564,50,5996,236,27,243,32262,1.273,8.4,0.7,3.0,7.1,2.34
