Tm,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Hokkaido Nippon Ham Fighters,27.3,3.27,87,53,.621,3.06,3.27,143,143,133,9,4,42,1284.0,1129,467,436,89,455,15,1004,48,4,39,5349,1.234,7.9,0.6,3.2,7.0,2.21
Fukuoka Softbank Hawks,28.6,3.35,83,54,.606,3.09,3.34,143,143,136,7,3,46,1291.0,1114,479,443,126,401,8,1158,44,3,36,5332,1.174,7.8,0.9,2.8,8.1,2.89
Chiba Lotte Marines,27.9,4.07,72,68,.514,3.67,4.06,143,143,131,12,4,36,1289.0,1308,582,525,104,428,16,855,43,5,35,5517,1.347,9.1,0.7,3.0,6.0,2.00
Saitama Seibu Lions,27.2,4.38,64,76,.457,3.85,4.38,141,141,127,8,3,31,1270.2,1249,618,543,78,524,9,956,76,4,61,5531,1.395,8.8,0.6,3.7,6.8,1.82
Tohoku Rakuten Golden Eagles,26.3,4.57,62,78,.443,4.11,4.60,143,143,140,3,1,30,1279.0,1324,654,584,106,452,5,1026,59,5,34,5564,1.389,9.3,0.7,3.2,7.2,2.27
Orix Buffaloes,28.0,4.67,57,83,.407,4.18,4.50,136,136,132,7,2,34,1269.1,1285,635,590,113,521,8,956,35,3,48,5541,1.423,9.1,0.8,3.7,6.8,1.83
League Totals,27.5,4.05,425,412,.508,3.66,4.02,849,849,799,46,17,219,7683.0,7409,3435,3121,616,2781,61,5955,305,24,253,32834,1.326,8.7,0.7,3.3,7.0,2.14
