Tm,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Yomiuri Giants,27.8,3.52,72,68,.514,3.32,3.55,143,143,126,9,6,31,1276.0,1182,504,470,116,363,5,1083,50,6,25,5312,1.211,8.3,0.8,2.6,7.6,2.98
Hanshin Tigers,29.5,3.69,78,61,.561,3.30,3.70,143,143,139,4,1,38,1285.2,1178,528,472,92,448,3,1223,62,4,41,5446,1.265,8.2,0.6,3.1,8.6,2.73
Hiroshima Carp,25.7,3.78,88,51,.633,3.39,3.77,143,143,139,4,2,36,1290.2,1182,540,486,92,476,3,1035,26,5,35,5446,1.285,8.2,0.6,3.3,7.2,2.17
Yokohama Bay Stars,25.9,4.18,73,65,.529,3.81,4.19,143,143,138,5,3,35,1286.0,1202,598,545,128,492,14,1117,45,4,48,5482,1.317,8.4,0.9,3.4,7.8,2.27
Yakult Swallows,29.1,4.57,45,96,.319,4.23,4.66,143,143,136,6,2,18,1261.0,1271,653,592,157,431,14,1011,45,4,34,5435,1.350,9.1,1.1,3.1,7.2,2.35
Chunichi Dragons,28.5,5.02,59,79,.428,4.06,4.38,124,124,137,6,2,37,1281.0,1231,623,578,127,495,4,949,65,5,28,5498,1.347,8.6,0.9,3.5,6.7,1.92
League Totals,27.7,4.11,415,420,.497,3.68,4.04,839,839,815,34,16,195,7680.1,7246,3446,3143,712,2705,43,6418,293,28,211,32619,1.296,8.5,0.8,3.2,7.5,2.37
