Tm,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Hiroshima Carp,28.9,4.78,143,5581,4914,684,1338,203,35,153,649,118,52,500,1063,.272,.343,.421,.765,2070,85,47,91,29,13
Chunichi Dragons,29.1,4.50,111,5405,4813,500,1180,209,21,89,473,60,28,410,1001,.245,.309,.353,.662,1698,103,46,108,28,7
Yakult Swallows,28.8,4.15,143,5509,4828,594,1234,210,20,113,565,82,24,524,907,.256,.331,.378,.709,1823,117,39,85,33,10
Yokohama Bay Stars,26.6,4.00,143,5364,4838,572,1205,194,21,140,548,67,34,373,1049,.249,.309,.385,.694,1861,92,54,81,18,7
Yomiuri Giants,30.3,3.63,143,5356,4797,519,1203,217,19,128,497,62,26,389,961,.251,.310,.384,.694,1842,100,35,112,23,11
Hanshin Tigers,28.4,3.54,143,5401,4789,506,1171,204,17,90,475,59,25,435,1149,.245,.312,.351,.662,1679,99,51,88,38,17
League Totals,28.7,4.09,826,32616,28979,3375,7331,1237,133,713,3207,448,189,2631,6130,.253,.319,.379,.698,10973,596,272,565,169,65
