Tm,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Fukuoka Softbank Hawks,29.0,4.55,143,5559,4852,651,1294,217,22,141,619,94,48,507,950,.267,.340,.408,.747,1978,110,51,109,40,14
Saitama Seibu Lions,27.5,4.41,143,5496,4818,631,1265,243,21,136,602,66,44,480,1194,.263,.335,.406,.742,1958,84,64,104,30,11
Hokkaido Nippon Ham Fighters,26.1,4.30,143,5469,4802,615,1238,205,27,106,578,134,38,487,1031,.258,.330,.378,.708,1815,90,46,104,30,10
Chiba Lotte Marines,28.6,3.92,143,5362,4767,561,1227,203,34,85,531,71,30,410,858,.257,.320,.368,.688,1753,95,44,109,32,6
Orix Buffaloes,29.5,3.63,143,5380,4725,519,1175,184,16,94,508,88,54,446,923,.249,.321,.354,.675,1673,86,67,115,27,7
Tohoku Rakuten Golden Eagles,29.7,3.04,143,5012,4439,435,1076,171,15,81,422,112,57,385,857,.242,.309,.342,.652,1520,85,60,94,34,6
League Totals,28.4,3.98,858,32278,28403,3412,7275,1223,135,643,3260,565,271,2715,5813,.256,.326,.377,.703,10697,550,332,635,193,54
