Tm,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
Hiroshima Carp,27.9,5.04,143,5663,4858,721,1275,227,34,175,697,95,49,599,1143,.262,.349,.431,.780,2095,85,63,109,34,39
Chunichi Dragons,29.0,4.75,126,5431,4858,598,1288,213,28,97,579,61,38,402,981,.265,.325,.380,.705,1848,105,45,86,40,30
Yakult Swallows,30.1,4.60,143,5582,4836,658,1287,220,17,135,632,68,29,561,931,.266,.347,.402,.749,1946,112,50,109,26,30
Yomiuri Giants,28.9,4.37,143,5486,4878,625,1255,223,17,152,606,61,22,465,1120,.257,.325,.403,.728,1968,100,32,96,15,30
Hanshin Tigers,28.9,4.03,143,5552,4833,577,1221,225,23,85,551,77,21,528,1086,.253,.330,.361,.691,1747,109,46,108,37,18
Yokohama Bay Stars,27.3,4.00,143,5344,4837,572,1209,227,13,181,554,71,37,363,1041,.250,.307,.415,.722,2005,91,49,71,24,21
League Totals,28.7,4.46,841,33058,29100,3751,7535,1335,132,825,3619,433,196,2918,6302,.259,.331,.399,.730,11609,602,285,579,176,168
