Tm,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Yomiuri Giants,28.4,4.02,67,71,.486,3.79,4.05,143,143,111,21,13,25,1279.0,1246,575,538,144,406,21,1040,51,0,38,5421,1.292,8.8,1.0,2.9,7.3,2.56
Hanshin Tigers,28.7,4.39,62,79,.440,4.03,4.43,143,143,139,4,2,35,1276.0,1238,628,572,127,509,24,1182,51,0,54,5526,1.369,8.7,0.9,3.6,8.3,2.32
Yokohama Bay Stars,25.6,4.49,67,74,.475,4.18,4.55,143,143,140,2,1,38,1269.0,1264,642,590,149,489,56,1163,46,2,36,5490,1.381,9.0,1.1,3.5,8.2,2.38
Hiroshima Carp,26.4,4.55,82,59,.582,4.12,4.57,143,143,140,3,0,38,1282.0,1267,651,587,138,535,25,1041,37,3,26,5592,1.406,8.9,1.0,3.8,7.3,1.95
Yakult Swallows,29.0,4.65,75,66,.532,4.13,4.70,143,143,139,4,2,40,1274.1,1286,665,585,143,464,24,1018,53,0,45,5540,1.373,9.1,1.0,3.3,7.2,2.19
Chunichi Dragons,28.3,5.19,63,78,.447,4.36,4.66,126,126,134,9,7,28,1262.2,1249,654,611,149,526,6,941,50,2,31,5494,1.406,8.9,1.1,3.7,6.7,1.79
League Totals,27.7,4.54,416,427,.493,4.10,4.49,841,841,803,43,25,204,7643.0,7550,3815,3483,850,2929,156,6385,288,7,230,33063,1.371,8.9,1.0,3.4,7.5,2.18
