Tm,Aff,PAge,R/G,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
Orix Buffaloes,,27.8,3.99,65,73,.471,3.73,3.97,144,144,141,2,2,37,1300.0,1222,574,539,130,419,27,1031,45,2,27,5471,1.262,8.5,0.9,2.9,7.1,2.46
Fukuoka Softbank Hawks,,27.6,4.05,82,60,.577,3.90,4.08,143,143,137,6,4,44,1277.2,1132,579,553,163,539,11,1087,63,2,29,5423,1.308,8.0,1.1,3.8,7.7,2.02
Tohoku Rakuten Golden Eagles,,27.2,4.08,58,82,.414,3.78,4.07,143,143,133,10,2,26,1289.1,1201,583,541,143,493,36,1115,51,1,50,5482,1.314,8.4,1.0,3.4,7.8,2.26
Hokkaido Nippon Ham Fighters,,26.3,4.10,74,66,.529,3.77,4.13,143,143,134,9,3,43,1275.2,1242,586,535,121,372,22,987,63,1,37,5405,1.265,8.8,0.9,2.6,7.0,2.65
Chiba Lotte Marines,,28.2,4.39,59,81,.421,4.05,4.43,143,143,135,8,3,30,1276.2,1289,628,574,129,453,28,908,30,2,33,5454,1.364,9.1,0.9,3.2,6.4,2.00
Saitama Seibu Lions,,27.9,4.57,88,53,.624,4.24,4.60,143,143,136,7,2,33,1277.1,1230,653,602,148,506,5,959,84,1,44,5515,1.359,8.7,1.0,3.6,6.8,1.90
League Totals,,27.5,4.19,426,415,.507,3.91,4.21,859,859,816,42,16,213,7696.2,7316,3603,3344,834,2782,129,6087,336,9,220,32750,1.312,8.6,1.0,3.3,7.1,2.19
